Route_ID,Origin_State,Origin_City,Destination_State,Destination_City,Distance_km,Avg_Transit_Days,Toll_Charges_INR,Preferred_Vehicle,Highway_Route,Active,Carrier_ID,Avg_Fuel_Cost_INR,Last_Updated,SLA_Days,Risk_Level
RTE000011,Goa,Margao,Gujarat,Vadodara,3581,3,601.17,Heavy Truck,FALSE,FALSE,CAR002,,2021-06-17 00:00:00,3,High
RTE000012,Himachal Pradesh,Solan,Karnataka,Bengaluru,2878,5,1127.36,Tempo,FALSE,FALSE,CAR015,20004.31,2023-06-04 00:00:00,3,Critical
RTE000013,Karnataka,Bengaluru,Tamil Nadu,Madurai,1073,2,5132.08,Heavy Truck,TRUE,TRUE,CAR007,4556.81,2023-03-02 00:00:00,9,Medium
RTE000014,Rajasthan,Jaipur,Bihar,Gaya,259,6,138.06,Container Truck,FALSE,TRUE,CAR005,1722.61,2023-11-07 00:00:00,1,Critical
RTE000015,Karnataka,Mangaluru,Goa,Ponda,2025,4,1094.29,Light Commercial Vehicle,TRUE,TRUE,CAR010,14398.31,2024-03-16 00:00:00,1,Low
RTE000016,Odisha,Cuttack,Goa,Vasco,3055,2,4417.66,Pickup Van,TRUE,TRUE,CAR011,14694.06,2021-04-25 00:00:00,3,Medium
RTE000017,Karnataka,Mysuru,Kerala,Kozhikode,414,7,,3-Wheeler,TRUE,TRUE,CAR013,3216.61,2023-03-12 00:00:00,7,Low
RTE000018,Odisha,Berhampur,Maharashtra,Aurangabad,3155,3,7129.27,Pickup Van,FALSE,FALSE,CAR007,20286.17,2023-03-25 00:00:00,5,High
RTE000019,Karnataka,Mysuru,West Bengal,Howrah,2313,5,1301.4,Container Truck,TRUE,TRUE,CAR011,13750.47,2024-08-04 00:00:00,5,Medium
RTE000020,Himachal Pradesh,Solan,Delhi,Dwarka,1821,7,2362.34,Tempo,TRUE,TRUE,CAR006,8075.67,2022-06-30 00:00:00,2,Critical
RTE000021,Delhi,Noida,Gujarat,Rajkot,3378,1,2337.82,Container Truck,TRUE,TRUE,CAR015,20857.86,2023-09-23 00:00:00,1,Medium
RTE000022,Goa,Vasco,Uttar Pradesh,Agra,2672,8,786.64,Heavy Truck,FALSE,FALSE,CAR010,15180.38,2024-02-28 00:00:00,9,High
RTE000023,Rajasthan,Kota,Rajasthan,Kota,3938,2,988.95,Refrigerated Truck,TRUE,FALSE,CAR002,25132.72,2023-06-19 00:00:00,8,Critical
RTE000024,Odisha,Rourkela,Jharkhand,Ranchi,2635,14,3718.81,Light Commercial Vehicle,TRUE,FALSE,CAR012,12488.83,2024-05-07 00:00:00,10,High
RTE000025,Delhi,New Delhi,Punjab,Ludhiana,3122,12,6948.18,Light Commercial Vehicle,FALSE,TRUE,CAR006,14491.06,2023-06-15 00:00:00,4,High
RTE000026,Jharkhand,Jamshedpur,Madhya Pradesh,Bhopal,1865,2,7020.62,Container Truck,FALSE,TRUE,CAR008,12561.93,2023-12-02 00:00:00,7,Medium
RTE000027,Rajasthan,Ajmer,Madhya Pradesh,Gwalior,3487,1,3827.54,Light Commercial Vehicle,FALSE,TRUE,CAR012,14723.64,2024-02-24 00:00:00,3,High
RTE000028,Kerala,Kozhikode,Uttar Pradesh,Lucknow,1920,12,6.83,Container Truck,TRUE,FALSE,CAR006,,2023-09-28 00:00:00,4,High
RTE000029,Punjab,Bathinda,Telangana,Hyderabad,2727,4,1987.83,Container Truck,TRUE,TRUE,CAR011,21102.71,2021-07-16 00:00:00,3,Medium
RTE000030,Delhi,Rohini,Assam,Jorhat,3518,6,,Refrigerated Truck,TRUE,TRUE,CAR013,,2023-12-13 00:00:00,8,Critical
RTE000031,Uttar Pradesh,Varanasi,Telangana,Karimnagar,1062,4,903.62,Medium Truck,FALSE,1,CAR005,5291.06,2021-05-27 00:00:00,2,Medium
RTE000032,Madhya Pradesh,Gwalior,Gujarat,Vadodara,280,5,5274.34,3-Wheeler,FALSE,TRUE,CAR009,1348.02,2021-10-04 00:00:00,10,Medium
RTE000033,Assam,Dibrugarh,Gujarat,Ahmedabad,N/A,1,5760.69,2-Wheeler,TRUE,TRUE,CAR006,12830.05,2022-10-21 00:00:00,2,Medium
RTE000034,Himachal Pradesh,Solan,Goa,Mapusa,609,8,7391.3,2-Wheeler,TRUE,TRUE,CAR003,,2024-12-27 00:00:00,1,High
RTE000035,Delhi,Gurugram,Rajasthan,Ajmer,3050,10,195.87,Medium Truck,TRUE,FALSE,CAR001,12394.23,2022-12-23 00:00:00,7,Medium
RTE000036,Gujarat,Ahmedabad,Telangana,Hyderabad,2465,7,2615.66,3-Wheeler,FALSE,TRUE,CAR015,10370.01,2023-12-07 00:00:00,4,Low
RTE000037,Himachal Pradesh,Dharamshala,Bihar,Darbhanga,3465,2,5396.9,Heavy Truck,TRUE,FALSE,CAR006,15741.86,2021-09-14 00:00:00,3,Critical
RTE000038,Jharkhand,Dhanbad,Maharashtra,Nagpur,1548,10,2636.58,Mini Truck,TRUE,FALSE,CAR009,9266.28,2023-12-26 00:00:00,3,High
RTE000039,Bihar,Gaya,Punjab,Amritsar,TBD,13,3994.56,2-Wheeler,TRUE,TRUE,CAR012,17485.77,2021-10-23 00:00:00,2,Critical
RTE000040,Maharashtra,Nashik,Karnataka,Belagavi,971,3,6716.08,Pickup Van,TRUE,FALSE,CAR003,7711.31,2021-12-09 00:00:00,8,Critical
RTE000041,Haryana,Faridabad,Karnataka,Mysuru,637,8,6238.15,Container Truck,FALSE,FALSE,CAR012,2761.66,2021-03-31 00:00:00,3,Medium
RTE000042,Assam,Jorhat,Assam,Tezpur,2794,1,7163,Pickup Van,TRUE,FALSE,CAR014,21075.98,2023-03-17 00:00:00,6,High
RTE000043,Telangana,Hyderabad,Goa,Margao,136,2,5531.73,Container Truck,TRUE,FALSE,CAR001,1077.15,2023-11-17 00:00:00,5,Medium
RTE000044,Odisha,Bhubaneswar,Bihar,Bhagalpur,1653,4,1953.54,3-Wheeler,FALSE,FALSE,CAR013,12490.08,2023-08-11 00:00:00,1,Critical
RTE000045,Gujarat,Surat,Bihar,Darbhanga,1003,8,5484.59,2-Wheeler,TRUE,TRUE,CAR008,4973.4,2021-07-29 00:00:00,3,Critical
RTE000046,Tamil Nadu,Coimbatore,Haryana,Rohtak,541,6,454.22,Refrigerated Truck,TRUE,TRUE,CAR005,2958.64,2021-11-01 00:00:00,1,Low
RTE000047,Tamil Nadu,Trichy,Delhi,Rohini,2823,9,86.84,Refrigerated Truck,FALSE,TRUE,CAR011,16555.93,2021-12-17 00:00:00,8,Medium
RTE000048,Goa,Mapusa,Himachal Pradesh,Manali,1331,11,5298.63,Tempo,TRUE,TRUE,CAR001,10438.03,2021-06-01 00:00:00,7,High
RTE000049,Goa,Mapusa,Punjab,Amritsar,3295,6,7872.67,Heavy Truck,FALSE,TRUE,CAR008,20750.94,2024-09-19 00:00:00,5,High
RTE000050,West Bengal,Howrah,Rajasthan,Ajmer,232,7,47.61,Mini Truck,TRUE,FALSE,CAR007,1183.89,2021-12-03 00:00:00,5,Medium
RTE000051,Odisha,Berhampur,Odisha,Berhampur,647,12,,3-Wheeler,TRUE,TRUE,CAR012,3228.28,2022-06-22 00:00:00,5,Medium
RTE000052,Delhi,Dwarka,Tamil Nadu,Madurai,3506,13,1149.85,Heavy Truck,FALSE,TRUE,CAR014,24050.45,2023-04-23 00:00:00,2,Critical
RTE000053,Punjab,Ludhiana,Uttarakhand,Dehradun,3452,10,2723.25,Medium Truck,TRUE,TRUE,CAR013,16940.23,2022-02-05 00:00:00,1,Medium
RTE000054,Tamil Nadu,Coimbatore,Delhi,Gurugram,1463,4,,Refrigerated Truck,FALSE,TRUE,CAR008,9683.55,2023-10-07 00:00:00,8,Low
RTE000055,Punjab,Ludhiana,Madhya Pradesh,Ujjain,2155,12,5333.89,Tempo,TRUE,TRUE,CAR010,14962.27,2022-03-01 00:00:00,4,Critical
RTE000056,Madhya Pradesh,Jabalpur,Tamil Nadu,Salem,657,3,5611.17,2-Wheeler,TRUE,TRUE,CAR007,3872.61,2024-12-01 00:00:00,9,High
RTE000057,Telangana,Warangal,Bihar,Patna,1247,5,5871.74,2-Wheeler,FALSE,FALSE,CAR005,5945.01,2023-05-30 00:00:00,4,Medium
RTE000058,Maharashtra,Nashik,Gujarat,Surat,TBD,13,6738.58,Medium Truck,TRUE,FALSE,CAR005,16440.8,2022-01-23 00:00:00,4,Low
RTE000059,Bihar,Muzaffarpur,Assam,Guwahati,TBD,11,88.73,Pickup Van,FALSE,FALSE,CAR011,12537.39,2022-04-15 00:00:00,7,High
RTE000060,Jharkhand,Jamshedpur,Karnataka,Hubli,1866,8,6146.7,3-Wheeler,FALSE,FALSE,CAR009,14775.59,2023-05-22 00:00:00,6,Low
RTE000061,Uttarakhand,Haridwar,Goa,Mapusa,2870,9,1647.67,Pickup Van,FALSE,TRUE,CAR005,14981.07,2021-01-29 00:00:00,5,Medium
RTE000062,Goa,Panaji,Tamil Nadu,Salem,178,10,5944.65,Pickup Van,no,FALSE,CAR007,794.48,2023-04-28 00:00:00,6,Critical
RTE000063,Bihar,Darbhanga,Haryana,Ambala,3988,1,6438.21,Tempo,FALSE,FALSE,CAR006,22138.82,2022-08-26 00:00:00,10,High
RTE000064,Tamil Nadu,Madurai,Gujarat,Gandhinagar,2778,6,6455.64,2-Wheeler,FALSE,TRUE,CAR002,15608.86,2021-06-29 00:00:00,4,Critical
RTE000065,Bihar,Bhagalpur,Goa,Margao,119,8,3370.95,3-Wheeler,FALSE,TRUE,CAR006,927.55,2024-03-18 00:00:00,2,Medium
RTE000066,Bihar,Bhagalpur,Assam,Dibrugarh,1714,5,1092.41,Container Truck,FALSE,TRUE,CAR007,7531.73,2023-07-29 00:00:00,7,Low
RTE000067,Assam,Guwahati,Maharashtra,Pune,3212,5,6159.1,3-Wheeler,TRUE,TRUE,CAR003,22284.23,2023-06-26 00:00:00,9,High
RTE000068,Assam,Silchar,Himachal Pradesh,Shimla,1838,11,3167.3,Tempo,TRUE,TRUE,CAR002,10103.57,2023-10-08 00:00:00,1,Low
RTE000069,Madhya Pradesh,Gwalior,Goa,Vasco,1575,1,1540.95,Mini Truck,TRUE,FALSE,CAR015,9694.96,2021-12-06 00:00:00,7,High
RTE000070,Delhi,Gurugram,Madhya Pradesh,Bhopal,3150,4,,Tempo,FALSE,TRUE,CAR008,24667.44,2023-09-12 00:00:00,2,Low
RTE000071,Kerala,Kochi,Maharashtra,Mumbai,2839,13,,Mini Truck,FALSE,TRUE,CAR013,15777.55,2022-06-15 00:00:00,5,High
RTE000072,Rajasthan,Jaipur,Madhya Pradesh,Bhopal,2518,5,5540.62,Container Truck,FALSE,TRUE,CAR001,13321.58,2024-11-05 00:00:00,7,High
RTE000073,Haryana,Gurugram,Madhya Pradesh,Gwalior,356,8,4700.26,Container Truck,FALSE,TRUE,CAR015,2025.85,2023-11-03 00:00:00,9,Low
RTE000074,Assam,Tezpur,Rajasthan,Udaipur,1615,6,493.47,Container Truck,TRUE,FALSE,CAR008,8547.64,2024-12-31 00:00:00,2,Low
RTE000075,Maharashtra,Mumbai,Uttar Pradesh,Varanasi,3242,6,,Tempo,FALSE,TRUE,CAR011,20655.83,2022-04-20 00:00:00,9,Medium
RTE000076,Madhya Pradesh,Jabalpur,Goa,Margao,425,1,7785.84,Refrigerated Truck,TRUE,TRUE,CAR014,2507.39,2023-09-18 00:00:00,10,High
RTE000077,Assam,Silchar,Bihar,Darbhanga,631,2,4469.15,Container Truck,no,0,CAR015,,2021-08-01 00:00:00,3,Critical
RTE000078,Rajasthan,Udaipur,West Bengal,Kolkata,1688,4,,3-Wheeler,TRUE,TRUE,CAR002,12756.17,2024-07-19 00:00:00,4,Critical
RTE000079,Rajasthan,Kota,Maharashtra,Pune,1276,14,3993.22,Container Truck,FALSE,TRUE,CAR002,,2023-11-15 00:00:00,10,High
RTE000080,Jharkhand,Ranchi,Himachal Pradesh,Dharamshala,2630,7,,3-Wheeler,FALSE,FALSE,CAR008,17525.18,2024-09-21 00:00:00,2,High
RTE000081,Himachal Pradesh,Mandi,Rajasthan,Ajmer,852,8,950.04,Pickup Van,TRUE,TRUE,CAR003,5508.23,2024-03-22 00:00:00,6,Medium
RTE000082,Gujarat,Vadodara,Kerala,Kannur,254,7,1057.23,Mini Truck,TRUE,TRUE,CAR004,1807.48,2021-08-22 00:00:00,10,High
RTE000083,Telangana,Nizamabad,Uttar Pradesh,Agra,3425,4,3628.61,2-Wheeler,TRUE,FALSE,CAR010,23894.61,2021-01-15 00:00:00,2,Medium
RTE000084,West Bengal,Kolkata,Uttarakhand,Haridwar,706,7,3175.1,Heavy Truck,N,TRUE,CAR006,4891.6,2021-06-06 00:00:00,8,Critical
RTE000085,Maharashtra,Nagpur,Madhya Pradesh,Indore,2264,11,540.82,Medium Truck,FALSE,FALSE,CAR015,16203.53,2022-09-16 00:00:00,4,Medium
RTE000086,Assam,Dibrugarh,Maharashtra,Mumbai,3821,14,2030.4,Medium Truck,FALSE,FALSE,CAR010,20528.15,2023-04-11 00:00:00,1,Low
RTE000087,Uttar Pradesh,Agra,Telangana,Khammam,3491,4,647.72,Light Commercial Vehicle,TRUE,FALSE,CAR007,24522.05,2021-12-20 00:00:00,8,Critical
RTE000088,Odisha,Cuttack,Tamil Nadu,Coimbatore,811,14,7511.68,Light Commercial Vehicle,FALSE,FALSE,CAR012,5788.75,2022-12-09 00:00:00,2,Medium
RTE000089,Haryana,Faridabad,Uttarakhand,Haridwar,3871,14,1179.95,Heavy Truck,TRUE,FALSE,CAR003,17707.1,2022-05-30 00:00:00,8,Low
RTE000090,Karnataka,Hubli,West Bengal,Durgapur,1909,13,4713.82,2-Wheeler,FALSE,TRUE,CAR005,13235.36,2024-04-03 00:00:00,7,Low
RTE000091,Punjab,Ludhiana,Assam,Jorhat,419,1,5516.4,Mini Truck,TRUE,TRUE,CAR012,,2023-06-28 00:00:00,3,Low
RTE000092,Tamil Nadu,Coimbatore,Gujarat,Rajkot,3590,11,3259.55,Refrigerated Truck,FALSE,FALSE,CAR015,17000.01,2024-07-10 00:00:00,3,High
RTE000093,Madhya Pradesh,Gwalior,Madhya Pradesh,Gwalior,1529,1,7719.08,Medium Truck,FALSE,FALSE,CAR001,10594.26,2023-02-06 00:00:00,4,Medium
RTE000094,Rajasthan,Jaipur,Gujarat,Rajkot,1769,5,300.39,Mini Truck,TRUE,TRUE,CAR011,12179.98,2023-08-31 00:00:00,8,Critical
RTE000095,Punjab,Jalandhar,Telangana,Warangal,588,5,7513.69,Pickup Van,Y,TRUE,CAR011,3896.78,2024-05-23 00:00:00,7,Critical
RTE000096,Odisha,Cuttack,Goa,Ponda,3032,11,6315.69,Mini Truck,TRUE,TRUE,CAR004,14793.01,2023-05-27 00:00:00,5,Medium
RTE000097,Tamil Nadu,Salem,Gujarat,Rajkot,2389,8,6292.75,Mini Truck,FALSE,TRUE,CAR009,9731.68,2021-10-31 00:00:00,9,High
RTE000098,Gujarat,Gandhinagar,Jharkhand,Bokaro,3821,13,5824.51,Mini Truck,FALSE,TRUE,CAR014,28390.17,2021-11-30 00:00:00,7,Low
RTE000099,Karnataka,Hubli,Haryana,Gurugram,3898,8,2478.33,Container Truck,TRUE,TRUE,CAR002,28869.99,2023-07-16 00:00:00,5,Low
RTE000100,Tamil Nadu,Madurai,Bihar,Darbhanga,N/A,3,4560.66,Refrigerated Truck,FALSE,TRUE,CAR013,19045.3,2024-10-04 00:00:00,1,Low
RTE000101,Rajasthan,Kota,Haryana,Ambala,3428,12,6517.94,Heavy Truck,FALSE,FALSE,CAR008,14780.85,2024-05-14 00:00:00,7,Medium
RTE000102,Rajasthan,Kota,Maharashtra,Pune,3391,3,,Heavy Truck,FALSE,FALSE,CAR013,16076.37,2022-09-27 00:00:00,4,High
RTE000103,Karnataka,Hubli,Odisha,Berhampur,2756,2,,Medium Truck,FALSE,FALSE,CAR014,14613.68,2021-05-19 00:00:00,1,High
RTE000104,Karnataka,Hubli,Himachal Pradesh,Dharamshala,1535,1,6145.25,Light Commercial Vehicle,FALSE,TRUE,CAR005,11604.19,2023-10-06 00:00:00,2,High
RTE000105,Himachal Pradesh,Mandi,Himachal Pradesh,Mandi,2341,13,3021.14,2-Wheeler,Y,FALSE,CAR009,15429.74,2023-03-09 00:00:00,6,Medium
RTE000106,Bihar,Gaya,Punjab,Bathinda,N/A,2,3855.79,Tempo,FALSE,TRUE,CAR013,1628.79,2021-03-16 00:00:00,3,High
RTE000107,Kerala,Thiruvananthapuram,Karnataka,Hubli,2102,3,5375.61,Refrigerated Truck,FALSE,TRUE,CAR012,15121.54,2023-09-08 00:00:00,9,Medium
RTE000108,Karnataka,Belagavi,Jharkhand,Bokaro,3991,12,5791.87,Container Truck,FALSE,FALSE,CAR002,18382.81,2022-05-10 00:00:00,2,High
RTE000109,Jharkhand,Ranchi,Uttar Pradesh,Kanpur,1959,7,3909.81,2-Wheeler,TRUE,FALSE,CAR012,8486.35,2023-09-15 00:00:00,5,Critical
RTE000110,Uttar Pradesh,Agra,Kerala,Thiruvananthapuram,1580,9,5777.71,Container Truck,FALSE,FALSE,CAR006,7090.25,2022-03-24 00:00:00,5,Low
RTE000111,Rajasthan,Ajmer,Tamil Nadu,Chennai,456,8,2056.92,Mini Truck,TRUE,FALSE,CAR004,3527.02,2024-08-18 00:00:00,8,High
RTE000112,Goa,Vasco,Jharkhand,Ranchi,3040,7,7227.45,Refrigerated Truck,FALSE,TRUE,CAR008,20584.72,2021-06-06 00:00:00,10,Critical
RTE000113,Gujarat,Ahmedabad,Haryana,Panipat,2925,11,1316.91,Pickup Van,FALSE,FALSE,CAR003,23125.17,2021-02-25 00:00:00,7,High
RTE000114,Uttar Pradesh,Meerut,Jharkhand,Dhanbad,91,3,860.53,Heavy Truck,FALSE,TRUE,CAR008,517.43,2024-01-17 00:00:00,8,Critical
RTE000115,Kerala,Thrissur,Tamil Nadu,Trichy,1098,5,4804.94,Tempo,TRUE,FALSE,CAR011,4393.79,2023-01-14 00:00:00,2,Low
RTE000116,Jharkhand,Deoghar,Maharashtra,Mumbai,3453,5,2308.66,Heavy Truck,FALSE,TRUE,CAR015,15905.61,2021-03-23 00:00:00,6,High
RTE000117,Haryana,Gurugram,Assam,Guwahati,2805,9,3993.97,Light Commercial Vehicle,FALSE,FALSE,CAR008,14503.18,2023-01-27 00:00:00,6,Medium
RTE000118,Himachal Pradesh,Manali,Haryana,Panipat,1807,5,1534.43,Pickup Van,TRUE,TRUE,CAR006,9315.4,2021-01-16 00:00:00,2,Critical
RTE000119,Kerala,Kannur,Madhya Pradesh,Jabalpur,2431,1,4062.19,3-Wheeler,FALSE,TRUE,CAR003,16416.91,2023-04-04 00:00:00,4,Low
RTE000120,Gujarat,Rajkot,Jharkhand,Deoghar,3218,9,3123.28,Tempo,TRUE,TRUE,CAR012,25328.54,2022-07-17 00:00:00,6,High
RTE000121,Telangana,Warangal,Karnataka,Mangaluru,3439,8,6620.21,Mini Truck,TRUE,TRUE,CAR004,19978,2022-06-10 00:00:00,1,High
RTE000122,Bihar,Gaya,Uttarakhand,Haldwani,1217,7,4965.09,Container Truck,FALSE,TRUE,CAR004,6710.69,2024-04-26 00:00:00,5,Low
RTE000123,Kerala,Thrissur,Karnataka,Hubli,335,8,6822.06,3-Wheeler,FALSE,TRUE,CAR009,1436.76,2024-10-18 00:00:00,6,Medium
RTE000124,West Bengal,Kolkata,Madhya Pradesh,Gwalior,2004,7,1821.29,Container Truck,yes,FALSE,CAR009,8512.58,2023-05-29 00:00:00,5,Medium
RTE000125,Odisha,Berhampur,Goa,Mapusa,1180,3,3504.16,Tempo,FALSE,FALSE,CAR002,8987.9,2023-10-13 00:00:00,7,Low
RTE000126,Telangana,Karimnagar,Kerala,Thiruvananthapuram,326,13,4714.46,2-Wheeler,FALSE,FALSE,CAR004,1398.72,2024-03-01 00:00:00,2,Low
RTE000127,Uttarakhand,Haridwar,Rajasthan,Udaipur,457,11,4234.82,Light Commercial Vehicle,FALSE,TRUE,CAR010,3147.16,2024-05-18 00:00:00,4,Low
RTE000128,Jharkhand,Deoghar,Uttarakhand,Dehradun,1239,10,,3-Wheeler,FALSE,TRUE,CAR013,7239.59,2023-11-18 00:00:00,7,High
RTE000129,Rajasthan,Jodhpur,Karnataka,Bengaluru,2710,3,5471.07,Container Truck,FALSE,FALSE,CAR015,13563.9,2024-09-19 00:00:00,5,Medium
RTE000130,Madhya Pradesh,Gwalior,Himachal Pradesh,Solan,1532,2,5735.16,3-Wheeler,FALSE,FALSE,CAR001,8190.79,2022-10-23 00:00:00,10,Low
RTE000131,Maharashtra,Nashik,Delhi,Dwarka,3611,5,884.17,Light Commercial Vehicle,TRUE,TRUE,CAR010,15806.93,2021-05-18 00:00:00,9,Critical
RTE000132,Maharashtra,Aurangabad,Goa,Margao,1197,11,5599.27,Refrigerated Truck,FALSE,FALSE,CAR006,7731.11,2024-02-29 00:00:00,3,Medium
RTE000133,Assam,Silchar,Uttarakhand,Haldwani,3938,7,2111.05,Container Truck,FALSE,TRUE,CAR001,22078.82,2023-09-12 00:00:00,6,Medium
RTE000134,Delhi,Noida,West Bengal,Siliguri,88,13,,Container Truck,FALSE,FALSE,CAR004,589.3,2024-11-29 00:00:00,8,Medium
RTE000135,Uttar Pradesh,Varanasi,Gujarat,Surat,2032,9,3607.37,Light Commercial Vehicle,TRUE,TRUE,CAR006,10423.15,2022-07-28 00:00:00,10,Critical
RTE000136,Delhi,Rohini,West Bengal,Kolkata,905,10,5256.5,Mini Truck,FALSE,FALSE,CAR003,4648.78,2023-02-28 00:00:00,7,Low
RTE000137,Goa,Mapusa,Uttarakhand,Haridwar,1654,5,468.15,Container Truck,TRUE,TRUE,CAR011,11144.07,2022-09-18 00:00:00,5,High
RTE000138,Uttarakhand,Roorkee,Telangana,Karimnagar,3078,12,4780.34,Light Commercial Vehicle,TRUE,FALSE,CAR014,19350.86,2023-10-02 00:00:00,8,Low
RTE000139,Punjab,Patiala,Karnataka,Bengaluru,690,5,2557.45,3-Wheeler,FALSE,FALSE,CAR001,3076.67,2021-12-18 00:00:00,4,Low
RTE000140,Maharashtra,Pune,Madhya Pradesh,Jabalpur,1146,12,218.61,Container Truck,TRUE,FALSE,CAR001,7718.48,2021-03-05 00:00:00,1,High
RTE000141,Jharkhand,Dhanbad,Madhya Pradesh,Gwalior,1488,5,5085.44,Mini Truck,TRUE,TRUE,CAR010,9202.22,2024-09-25 00:00:00,9,Low
RTE000142,Haryana,Rohtak,Delhi,Dwarka,509,13,6477.75,Mini Truck,TRUE,TRUE,CAR008,2512.74,2023-02-18 00:00:00,3,High
RTE000143,Rajasthan,Jodhpur,Haryana,Faridabad,3867,4,2709.92,2-Wheeler,FALSE,TRUE,CAR011,19612.02,2023-01-23 00:00:00,10,Medium
RTE000144,Assam,Jorhat,Rajasthan,Kota,2950,4,7971.11,Medium Truck,Y,TRUE,CAR002,22018.19,2024-04-10 00:00:00,9,Low
RTE000145,Delhi,Dwarka,Goa,Mapusa,--,11,4771.75,Medium Truck,FALSE,TRUE,CAR012,27167.19,2023-03-12 00:00:00,3,Critical
RTE000146,Tamil Nadu,Coimbatore,Delhi,Gurugram,3438,10,1898.25,Pickup Van,TRUE,FALSE,CAR011,26005.97,2023-02-14 00:00:00,9,Critical
RTE000147,Assam,Tezpur,Goa,Panaji,487,9,4652.04,Tempo,FALSE,FALSE,CAR010,3269.92,2022-12-28 00:00:00,1,High
RTE000148,Uttar Pradesh,Meerut,Maharashtra,Nagpur,3319,3,2204.52,Light Commercial Vehicle,TRUE,FALSE,CAR015,18036.47,2022-03-20 00:00:00,2,Medium
RTE000149,Karnataka,Bengaluru,Himachal Pradesh,Manali,701,11,7649.86,Medium Truck,FALSE,FALSE,CAR003,3859.54,2023-01-21 00:00:00,2,Low
RTE000150,Uttarakhand,Haldwani,Himachal Pradesh,Dharamshala,886,8,575.04,Container Truck,FALSE,TRUE,CAR003,3808.58,2022-06-15 00:00:00,8,Low
RTE000151,Tamil Nadu,Salem,Telangana,Karimnagar,106,10,1331.37,Light Commercial Vehicle,TRUE,TRUE,CAR006,595.4,2022-06-14 00:00:00,2,Critical
RTE000152,Telangana,Khammam,Odisha,Bhubaneswar,3023,12,6189.4,3-Wheeler,FALSE,FALSE,CAR003,21285.17,2023-05-02 00:00:00,7,Critical
RTE000153,Himachal Pradesh,Dharamshala,Rajasthan,Kota,2457,13,5337.71,Container Truck,FALSE,TRUE,CAR012,17918.98,2024-03-24 00:00:00,6,Low
RTE000154,Karnataka,Mysuru,Gujarat,Ahmedabad,3866,1,6555.98,Refrigerated Truck,TRUE,TRUE,CAR014,17544.5,2022-04-16 00:00:00,8,High
RTE000155,Himachal Pradesh,Manali,Assam,Jorhat,2035,6,,Tempo,FALSE,TRUE,CAR006,10318.34,2022-06-06 00:00:00,5,Critical
RTE000156,Rajasthan,Kota,Goa,Margao,2083,5,7829.1,3-Wheeler,FALSE,FALSE,CAR002,8739.3,2024-08-20 00:00:00,7,Low
RTE000157,Goa,Mapusa,Gujarat,Gandhinagar,1494,10,785.93,Light Commercial Vehicle,FALSE,TRUE,CAR003,6494.96,2022-12-18 00:00:00,1,Medium
RTE000158,Maharashtra,Nashik,Bihar,Patna,3851,7,6001.23,Light Commercial Vehicle,FALSE,FALSE,CAR014,30317.2,2023-06-21 00:00:00,6,Critical
RTE000159,Uttar Pradesh,Varanasi,Telangana,Warangal,2271,12,,Heavy Truck,FALSE,TRUE,CAR001,10502.14,2023-09-13 00:00:00,1,Critical
RTE000160,Haryana,Panipat,Odisha,Cuttack,3928,14,662.19,Pickup Van,TRUE,no,CAR002,16762.03,2024-02-05 00:00:00,9,Medium
